schedule_id,station,train_year,total_N,total_irrigation,N1_DAP,N1_amount,N2_DAP,N2_amount,N3_DAP,N3_amount,I1_DAP,I1_amount,I2_DAP,I2_amount,I3_DAP,I3_amount
SYA2012_S0170,SYA,2012,150.0,150.0,1,0.0,30,150.0,60,0.0,25,50.0,50,50.0,75,50.0
SYA2012_S0171,SYA,2012,150.0,200.0,1,0.0,30,150.0,60,0.0,25,50.0,50,50.0,75,100.0
SYA2012_S0172,SYA,2012,150.0,150.0,1,0.0,30,150.0,60,0.0,25,50.0,50,100.0,75,0.0
SYA2012_S0173,SYA,2012,150.0,200.0,1,0.0,30,150.0,60,0.0,25,50.0,50,100.0,75,50.0
SYA2012_S0174,SYA,2012,150.0,250.0,1,0.0,30,150.0,60,0.0,25,50.0,50,100.0,75,100.0
SYA2012_S0175,SYA,2012,150.0,100.0,1,0.0,30,150.0,60,0.0,25,100.0,50,0.0,75,0.0
SYA2012_S0176,SYA,2012,150.0,150.0,1,0.0,30,150.0,60,0.0,25,100.0,50,0.0,75,50.0
SYA2012_S0177,SYA,2012,150.0,200.0,1,0.0,30,150.0,60,0.0,25,100.0,50,0.0,75,100.0
SYA2012_S0178,SYA,2012,150.0,150.0,1,0.0,30,150.0,60,0.0,25,100.0,50,50.0,75,0.0
SYA2012_S0179,SYA,2012,150.0,200.0,1,0.0,30,150.0,60,0.0,25,100.0,50,50.0,75,50.0
SYA2012_S0180,SYA,2012,150.0,250.0,1,0.0,30,150.0,60,0.0,25,100.0,50,50.0,75,100.0
SYA2012_S0181,SYA,2012,150.0,200.0,1,0.0,30,150.0,60,0.0,25,100.0,50,100.0,75,0.0
SYA2012_S0182,SYA,2012,150.0,250.0,1,0.0,30,150.0,60,0.0,25,100.0,50,100.0,75,50.0
SYA2012_S0183,SYA,2012,225.0,0.0,1,0.0,30,150.0,60,75.0,25,0.0,50,0.0,75,0.0
SYA2012_S0184,SYA,2012,225.0,50.0,1,0.0,30,150.0,60,75.0,25,0.0,50,0.0,75,50.0
SYA2012_S0185,SYA,2012,225.0,100.0,1,0.0,30,150.0,60,75.0,25,0.0,50,0.0,75,100.0
SYA2012_S0186,SYA,2012,225.0,50.0,1,0.0,30,150.0,60,75.0,25,0.0,50,50.0,75,0.0
SYA2012_S0187,SYA,2012,225.0,100.0,1,0.0,30,150.0,60,75.0,25,0.0,50,50.0,75,50.0
SYA2012_S0188,SYA,2012,225.0,150.0,1,0.0,30,150.0,60,75.0,25,0.0,50,50.0,75,100.0
SYA2012_S0189,SYA,2012,225.0,100.0,1,0.0,30,150.0,60,75.0,25,0.0,50,100.0,75,0.0
SYA2012_S0190,SYA,2012,225.0,150.0,1,0.0,30,150.0,60,75.0,25,0.0,50,100.0,75,50.0
SYA2012_S0191,SYA,2012,225.0,200.0,1,0.0,30,150.0,60,75.0,25,0.0,50,100.0,75,100.0
SYA2012_S0192,SYA,2012,225.0,50.0,1,0.0,30,150.0,60,75.0,25,50.0,50,0.0,75,0.0
SYA2012_S0193,SYA,2012,225.0,100.0,1,0.0,30,150.0,60,75.0,25,50.0,50,0.0,75,50.0
SYA2012_S0194,SYA,2012,225.0,150.0,1,0.0,30,150.0,60,75.0,25,50.0,50,0.0,75,100.0
SYA2012_S0195,SYA,2012,225.0,100.0,1,0.0,30,150.0,60,75.0,25,50.0,50,50.0,75,0.0
SYA2012_S0196,SYA,2012,225.0,150.0,1,0.0,30,150.0,60,75.0,25,50.0,50,50.0,75,50.0
SYA2012_S0197,SYA,2012,225.0,200.0,1,0.0,30,150.0,60,75.0,25,50.0,50,50.0,75,100.0
SYA2012_S0198,SYA,2012,225.0,150.0,1,0.0,30,150.0,60,75.0,25,50.0,50,100.0,75,0.0
SYA2012_S0199,SYA,2012,225.0,200.0,1,0.0,30,150.0,60,75.0,25,50.0,50,100.0,75,50.0
SYA2012_S0200,SYA,2012,225.0,250.0,1,0.0,30,150.0,60,75.0,25,50.0,50,100.0,75,100.0
SYA2012_S0201,SYA,2012,225.0,100.0,1,0.0,30,150.0,60,75.0,25,100.0,50,0.0,75,0.0
SYA2012_S0202,SYA,2012,225.0,150.0,1,0.0,30,150.0,60,75.0,25,100.0,50,0.0,75,50.0
SYA2012_S0203,SYA,2012,225.0,200.0,1,0.0,30,150.0,60,75.0,25,100.0,50,0.0,75,100.0
SYA2012_S0204,SYA,2012,225.0,150.0,1,0.0,30,150.0,60,75.0,25,100.0,50,50.0,75,0.0
SYA2012_S0205,SYA,2012,225.0,200.0,1,0.0,30,150.0,60,75.0,25,100.0,50,50.0,75,50.0
SYA2012_S0206,SYA,2012,225.0,250.0,1,0.0,30,150.0,60,75.0,25,100.0,50,50.0,75,100.0
SYA2012_S0207,SYA,2012,225.0,200.0,1,0.0,30,150.0,60,75.0,25,100.0,50,100.0,75,0.0
SYA2012_S0208,SYA,2012,225.0,250.0,1,0.0,30,150.0,60,75.0,25,100.0,50,100.0,75,50.0
SYA2012_S0209,SYA,2012,300.0,0.0,1,0.0,30,150.0,60,150.0,25,0.0,50,0.0,75,0.0
SYA2012_S0210,SYA,2012,300.0,50.0,1,0.0,30,150.0,60,150.0,25,0.0,50,0.0,75,50.0
